Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2024-02-09,0.019691456480182775,-2.010257867987725,-1.86962241337153,-0.757147694259329,0.30464541435955966,-1.8661994648455955
2024-02-12,0.5050527360823266,-1.2961345031797489,-1.4068681919864012,-0.33648641848045563,0.6325432445108149,-1.6921507525792876
2024-02-13,1.1416169804197016,-0.161571921214532,-0.834754565141515,0.30766438443540334,0.8889262959791121,-1.5001479960931638
2024-02-14,1.4804167589092803,-0.5941489437191998,-1.0452841663057677,0.16608219531483243,0.4073723901048157,-1.6554189462786615
2024-02-15,1.4153931582182813,-0.08569884876538275,-0.8002349049317027,1.003754232483574,-0.8237197112597416,-1.2986045700491524
2024-02-16,1.6127742744536229,0.3710312422771999,-0.6805020473604523,1.4373892306057399,-0.9277663776119333,-1.1699543236468068
2024-02-20,1.6111363519816932,0.6882376200896804,-0.2525604167864898,1.1772441548785948,-0.3442195826282963,-0.47918675904933633
2024-02-21,1.3178891323183182,0.8711543133883959,-0.41208499162150936,0.7653783772757211,-0.6649205328040568,0.004604787887605072
2024-02-22,0.7009272694248728,-0.8011382404728364,-1.27418793475813,0.34674421784278187,-1.3733504137019137,-2.054369941085281
2024-02-23,1.1900268737957556,-0.4995872060944894,-1.2309474245190666,0.30213558679107094,-0.3180931852138866,-1.8422783199102675
2024-02-26,1.523972509874994,0.067622748612603,-1.0867150790753897,1.7707154179616205,-1.5452203592788838,-1.69833268809227
2024-02-27,0.9626400959471891,0.0650263617018569,-0.7914174582036894,1.4089548816549502,-1.4351521528731161,-1.4679884583930956
2024-02-28,1.271519626509804,0.01788137442373134,-0.6517910763621896,2.01100171672832,-1.61685748782199,-1.1672176770860387
2024-02-29,1.3798883352975857,-1.063720685565037,-1.514409644183948,1.3078124576065426,-1.4125353294201675,-1.3670832909827446
2024-03-01,1.5451011756437079,-1.3157541593113078,-2.088444582500804,1.5414335928109748,-1.3625555276268684,-1.8575529295510969
2024-03-04,2.387594400064083,-1.108217030980461,-1.6411500429056078,2.1407850549771927,0.7976787937003817,-2.1244666012464073
2024-03-05,2.7518744175892405,1.3400181820685484,-0.5206233549844208,1.939587334678962,1.8890359639534662,-1.9304467279662774
2024-03-06,2.3910477088866204,1.380776116561629,-0.27289904501060486,1.8781006621196783,2.1929323359130337,-2.0560032849634324
2024-03-07,2.053373078908609,-0.01822678687105606,-1.1869355194640396,1.1658475381504967,1.720012955354366,-2.221377021427271
2024-03-08,1.5609816567216388,0.4909585410386908,-0.6591187664478453,0.8753522994356417,1.8451317471293636,-1.3224369832229612
2024-03-11,1.1195459869043538,0.7781285539405066,0.3598828614342083,0.35702677903700614,1.4040415889554907,-0.967853090832477
2024-03-12,0.9441982250729534,-1.6456005728710572,-0.65621592583315,0.09216049738794231,1.3092609804777646,-1.6210051530096456
2024-03-13,1.1872896414275447,-1.4232403667754274,-0.926266569126937,-0.2883482640733722,1.8615658976363605,-1.3288707110919453
2024-03-14,0.7746422018111087,-2.66551075117506,-1.4446471638451168,-1.2132761582616847,2.0767333275270734,-0.8457118033439679
